gold_label	null	null	null	null	sentence1	sentence2	promptID	pairID	genre	label1	null	null	null	null
entailment					The screw-pile was used for the erection of lighthouses and other structures on mudbanks and shifting sands, including bridges and piers.	Bridges, piers and lighthouses alike are all erected on mudbanks and shifting sands.	base_02976397.001	base_02976397.001e	wikipedia	entailment				
neutral					Every resident graduate of the Kalamazoo Public Schools is provided with a scholarship for up to 100% of tuition and mandatory fee costs for four years at any public university or community college in Michigan, starting with the class of 2006.	This helped a lot of students afford college.	base_01218200.001	base_01218200.001n	wikipedia	neutral				
contradiction					He encourages her to take it, not because he wants to lose her but because he does not want her involved in what is coming.	He desires her to stay with him throughout anything they face.	base_21203104.006	base_21203104.006c	wikipedia	contradiction				
entailment					In 1927 she married August Deinboll (1880–1975), who was the father of the Norwegian cartoonist Tore Deinboll (1910–1988).	In 1927 she married August Deinboll.	base_59486233.003	base_59486233.003e	wikipedia	entailment				
entailment					The variable dwarf kingfisher was therefore split and 12 of the subspecies, including the dimorphic dwarf kingfisher, were promoted to species status.	The Dimorphic dwarf kingfisher was among those that were promoted.	base_53318690.002	base_53318690.002e	wikipedia	entailment				
entailment					Ottawa proceeded alone from Pearl to Eniwetok, Marshalls, and Ulithi, Carolines, then departed the latter in convoy on 27 June 1945 bound for Okinawa.	Ottawa went alone from Pearl to Eniwetok.	base_18040528.000	base_18040528.000e	wikipedia	entailment				
entailment					The Teamsters began to expand dramatically and mature organizationally under Tobin.	The teamsters started to expand under Tobin	base_15177797.000	base_15177797.000e	wikipedia	entailment				
contradiction					John Wallace was a competitor in the sailing competition at the 1936 Summer Olympics in Berlin.	John Wallace was in the Winter Olympics in Berlin.	base_37571566.000	base_37571566.000c	wikipedia	contradiction				
contradiction					Mean travel time to work for workers 16 and over was 23 minutes.	The workers had to be early to catch the first train.	base_30739942.001	base_30739942.001c	wikipedia	contradiction				
entailment					Karyuchin also competed in the K-4 1000 m event at the 1968 Summer Olympics in Mexico City, but was eliminated in the semifinals.	Mexico City was the location of the K-4 1000m event Karyuchin competed in.	base_34339012.000	base_34339012.000e	wikipedia	entailment				
entailment					Nebecker was elected Auditor of Fountain County, Indiana in 1870 and held that office for four years.	In the year 1870, the position of Fountain County's Auditor, in Indiana, was held by Nebecker	base_41109537.000	base_41109537.000e	wikipedia	entailment				
contradiction					"The name ""bergstrasen"" was first recorded in 1165."	1165 saw the ruling out of Bergstrasen as a name.	base_12927052.001	base_12927052.001c	wikipedia	contradiction				
contradiction					The clock again broke down at 5.45am on 6 September 2006 but wet weather hampered efforts to investigate the fault.	The clock again broke down at 6.46am on 5 September 2005.	base_09976010.001	base_09976010.001c	wikipedia	contradiction				
contradiction					On March 13, 2005, Eisner announced that he would step down as CEO one year before his contract expired.	Eisner's contract was set to expire on July of that same year	base_36265968.000	base_36265968.000c	wikipedia	contradiction				
contradiction					"Round-bottom flasks often have one or more conically tapered ground glass joint openings, or ""necks""."	The round-bottom flasks have only one conically tapered ground glass joint openings.	base_21289311.000	base_21289311.000c	wikipedia	contradiction				
entailment					He came off the bench against Russia in their first 2014 IRB Nations Cup match on 13 June 2014, scoring 6 points.	He came came off the bench against Russia in their first 2014 IRB Nations Cup match.	base_44681422.001	base_44681422.001e	wikipedia	entailment				
neutral					In 1803, the city was mediatized and became a possession of the Counts of Quadt.	The Counts of Quadt sought to increase trade to the city. 	base_12739909.003	base_12739909.003n	wikipedia	neutral				
neutral					Over the course of his career, Pawełek was awarded the Silver Cross of Merit and named a knight of the Order of Polonia Restituta.	Pawelek was knighted in 1998. 	base_58053703.005	base_58053703.005n	wikipedia	neutral				
neutral					The building itself stood for over one hundred years before being finally demolished in 2015.	The building served as a meeting place for many people's. 	base_33671447.005	base_33671447.005n	wikipedia	neutral				
neutral					Frederick willed the mansion to Mrs. Lord.	Mrs. Lord remodeled the mansion entirely 	base_22309018.000	base_22309018.000n	wikipedia	neutral				
entailment					The design and marketing contract was awarded to Data Select in 2010.	Data Select got the marketing contract.	base_08060932.001	base_08060932.001e	wikipedia	entailment				
neutral					Cassa di Risparmio di Ascoli Piceno known as Carisap, is a former Italian regional bank based in Ascoli Piceno, Marche.	Cassa di Risparmio di Ascoli Piceno in Marche, was a bank that had to close due to legal problems 	base_51839643.000	base_51839643.000n	wikipedia	neutral				
neutral					"The team obtained a UCI Continental licence for its first season (2008) under the name of ""Team R.A.C.E. Pro"" (TRP), ""Team Planet Energy"" (TPE) in 2009 and SpiderTech powered by Planet Energy (CSM) in 2010."	"Under the name of ""Team R.A.C.E. Pro"" the team obtained a licence."	base_37847531.002	base_37847531.002n	wikipedia	neutral				
entailment					To hide his creations from Unicron before he felt they were ready to face him, Primus went into a hibernation-like sleep, his massive visage nestled at the planet's heart.	To hide his creations from Unicron, Primus went into a hibernation-like sleep.	base_07211005.006	base_07211005.006e	wikipedia	entailment				
neutral					Ambrose Swasey (December 19, 1846 – June 15, 1937) was an American mechanical engineer, inventor, entrepreneur, manager, astronomer, and philanthropist.	Ambrose Swasey began as merely an engineer but snowballed professions overtime.	base_13108624.000	base_13108624.000n	wikipedia	neutral				
neutral					Holman took an interest in one fan, Zachary Smith Reynolds, the heir to the R. J. Reynolds tobacco company.	Holman's interest in Zachary was due solely to his inheritance.	base_21899186.000	base_21899186.000n	wikipedia	neutral				
contradiction					"Going into 2008 he was ranked the # 1 minor league prospect in baseball by both ""Baseball America"" and Baseball Prospectus."	"He was ranked the #3 minor league prospect in baseball by ""Baseball America"" going into 2008."	base_25053661.002	base_25053661.002c	wikipedia	contradiction				
neutral					"The vessels were built as a class by Seabridge, and were then operated by Bibby Line, Furness Withy, Hunting Line and Hilmar Reksten. """	The vessels were built as a class by Seabridge at a considerable price.	base_28393295.003	base_28393295.003n	wikipedia	neutral				
neutral					As further development takes place, these hyphae make contact with and adhere to the hymenial surface of the stem, covering basidia and macrocystidia (very long cystidia) already present.	These hyphae make contact with the stem around day three of development.	base_21616815.003	base_21616815.003n	wikipedia	neutral				
entailment					The school retired his jersey (No.	His jersey was retired by the school	base_09049083.000	base_09049083.000e	wikipedia	entailment				
entailment					They were one of the eight teams that competed in the 2010 Indian Premier League.	The 2010 Indian Premier League was competed by eight teams.	base_52427392.001	base_52427392.001e	wikipedia	entailment				
entailment					There were 100 housing units at an average density of 392.5 per square mile (154.4/km²).	There were 100 housing units.	base_02509784.002	base_02509784.002e	wikipedia	entailment				
neutral					The owner at the time of the fire was George Prince; rebuilding was completed by the following February.	George Prince was satisfied about the rebuilding.	base_43652356.000	base_43652356.000n	wikipedia	neutral				
neutral					Presumably this version was a last-ditch attempt to rally sales in a market that was dominated by RX100 sales.	The sales target increased marginally. 	base_31593146.002	base_31593146.002n	wikipedia	neutral				
neutral					The club's sponsorship deal with Eumako was only good for two years and ended in 1993.	Eumako had a two-year sponsorship with a soccer club that ended in 1993.	base_37946513.003	base_37946513.003n	wikipedia	neutral				
neutral					He appeared in seventy-eight games for the Bruins, scoring thirty-nine goals and assisting on fifteen.	He appeared in seventy-eight games for the Bruins winning every game.	base_19496902.001	base_19496902.001n	wikipedia	neutral				
entailment					Gabriel had begun work on some songs and provided Lanois and Rhodes with chord structures, around which they improvised compositions.	Gabriel provided Lanois and Rhodes with cords for the new songs. 	base_08254819.001	base_08254819.001e	wikipedia	entailment				
neutral					The director of the club is Melbourne musician Phil Heuzenroeder.	Melbourne musician Phil Heuzenroeder has been the long time director of the club.	base_31988777.001	base_31988777.001n	wikipedia	neutral				
contradiction					The airport is located from downtown Parnaíba.	The airport is not located from downtown Parnaíba.	base_30779856.000	base_30779856.000c	wikipedia	contradiction				
entailment					Accounts of the party vary.	There are varying accounts of the party.	base_23999296.004	base_23999296.004e	wikipedia	entailment				
neutral					In March 2014 Butcher joined Maidstone United on loan until the end of the season, and following his release from Gillingham he joined the Stones on a permanent deal in June 2014.	Butcher stayed with the Stones for five seasons.	base_47808196.001	base_47808196.001n	wikipedia	neutral				
entailment					However, several naval militias were activated or reactivated in the late 20th century and early 21st century.	Some naval militias were activated in the late 20th century.	base_10890305.000	base_10890305.000e	wikipedia	entailment				
neutral					In this series, Litten also plays a regular character, Marcus, an overweight fitness instructor who uses a wheelchair.	Marcus is in a wheelchair because he is overweight and gross.	base_16020613.008	base_16020613.008n	wikipedia	neutral				
contradiction					The Teamsters began to expand dramatically and mature organizationally under Tobin.	The teamsters did not grow and subsequently, the idea died 	base_15177797.000	base_15177797.000c	wikipedia	contradiction				
neutral					The south-to-north route runs primarily on 164th Street, operating between two major bus-subway hubs: Sutphin Boulevard – Archer Avenue/Jamaica and Flushing–Main Street.	You can get on the south-to-north route on streets other than 164th.	base_53748983.001	base_53748983.001n	wikipedia	neutral				
contradiction					No You Girls reached #22 in the UK Singles Chart two weeks before its official release, dropped to #24 the next week and then returned to #22 upon its official release.	 No You Girls failed to reach #22 in the UK Singles Chart.	base_33790864.000	base_33790864.000c	wikipedia	contradiction				
neutral					They were promoted to the highest level of football in Ivory Coast, and play their games at 4,000 capacity Parc des Sports de Treichville.	The Parc des Sports de Treichville was constructed in the 1990s.	base_47185323.001	base_47185323.001n	wikipedia	neutral				
neutral					Drawing on this discovery she made a series she called Entry (borders and corners) in 2000.	The series called Entry was premiered during the fall of 2000	base_55683663.005	base_55683663.005n	wikipedia	neutral				
entailment					by the host of the nonprofit organization 'Living and Art Creative Center (일상예술창작센터)' since 2002.	Living and Art Creative Center is a nonprofit.	base_15818233.000	base_15818233.000e	wikipedia	entailment				
neutral					"Starr tried creating a new ""watered down"" public image in 2002, releasing a solo single which was not received well by critics, as it didn't have the trademark ""energy"" of the past NTM releases."	Starr's single didn't break top 300 on Billboard. 	base_01626824.000	base_01626824.000n	wikipedia	neutral				
entailment					The researchers recognized the problems with racial and ethnic variables but the majority still believed these variables were necessary and useful.	The racial and ethnic problems were recognized by the researchers 	base_00639440.001	base_00639440.001e	wikipedia	entailment				
contradiction					He played at the end position for the 1920 Detroit Heralds during the first regular season of the NFL (then known as the American Professional Football Association).	He never played at the end position for the 1920 Detroit Heralds.	base_50142082.001	base_50142082.001c	wikipedia	contradiction				
neutral					The ecosystem now on the site consists only of planted eucalyptus and Pinus patula trees, along with insects and rodents.	There are four different species of beetle within the site at this time. 	base_05047069.005	base_05047069.005n	wikipedia	neutral				
neutral					As part of a long running project to restore the estuary, in 2009 a new 10,000 foot dike was installed behind the old dike and four miles of the old Brown Farm Dike were removed.	The dike project was controversial when it was brought to the public.	base_14269341.001	base_14269341.001n	wikipedia	neutral				
neutral					"Following successful trials aboard the frigate and sister ship , plans to convert the ""St. Laurent"" class took shape."	Successful trials aboard the frigate and sister ship provoked the end of the St. Laurent class. 	base_16963385.000	base_16963385.000n	wikipedia	neutral				
contradiction					He has been charged by Spain with alleged tax offenses, money laundering and corruption among individuals in other cases of corruption.	Spain's investigation concluded zero presence of corruption here.	base_54353276.001	base_54353276.001c	wikipedia	contradiction				
contradiction					Voice Research: In 1995 Edgerton was asked by Barney Childs and Phillip Rehfeldt, then editors of the New Instrumentation Series at the University of California Press to contribute a book discussing extended vocal techniques.	Barney Childs died in 1995.	base_30792625.000	base_30792625.000c	wikipedia	contradiction				
contradiction					For a teenager with few hopes for the future, one highly susceptible to influence, it’s not an offer to refuse.	Teenagers can easily refuse such a tempting offer.	base_39571810.004	base_39571810.004c	wikipedia	contradiction				
neutral					From 1979, the council had 15 3-member wards, reduced to 14 wards in 2002 and 13 in 2012.	Advances in technology allowed for the reduction of wards in the council	base_14314905.001	base_14314905.001n	wikipedia	neutral				
entailment					The ornament surrounding the three windows on the Second Street side are highly detailed.	The three windows are surrounded by an ornament.	base_24122263.003	base_24122263.003e	wikipedia	entailment				
entailment					"There are over 1,000 pizzerias and ""slice shops"" in NYC, and many purvey both whole pies and slices."	In NYC there are many purvey both whole pies and slices.	base_58346133.001	base_58346133.001e	wikipedia	entailment				
entailment					The isthmus between Panguil Bay that separates Lanao del Norte from Misamis Occidental and Illana Bay that separates Lanao del Sur from Zamboanga del Sur is what connects the Zamboanga Peninsula to the rest of Mindanao Island.	Lanao del Norte is separated from Misamis Occidental by an isthmus	base_33420621.001	base_33420621.001e	wikipedia	entailment				
neutral					As a tribute to Victoria, Crown Princess of Sweden, Prince Daniel, Duke of Västergötland engaged Elofsson to compose a song that express what we feel when we fall in love with someone.	As tribute to Victoria, Daniel composed a love song in order to ask her to marry him	base_38685250.001	base_38685250.001n	wikipedia	neutral				
contradiction					The peninsula between the 2 bays is on a high hill, which is connected to land and extends to the sea.	The peninsula is between a bay and the ocean. 	base_30644600.002	base_30644600.002c	wikipedia	contradiction				
entailment					The Shroud of Turin is a length of linen cloth bearing the negative image of a man who is alleged to be Jesus of Nazareth.	The shroud of turin has the alleged image of Jesus on it. 	base_58878033.000	base_58878033.000e	wikipedia	entailment				
entailment					He belongs to the Communist Party of India (Marxist) and represents Ambalappuzha constituency.	He's known for being part of the Communist Party of India	base_28605516.001	base_28605516.001e	wikipedia	entailment				
neutral					The choir has been a laboratory for the young conductor and composer since its beginnings and still performs a lot of Uusberg's music.	The choir has been a laboratory for the old conductor and composer.	base_54984075.001	base_54984075.001n	wikipedia	neutral				
entailment					The aid provided by France according to the French Government consists of:	France provided aid.	base_37189241.002	base_37189241.002e	wikipedia	entailment				
entailment					In 2017, the company began removal of the approach structure's wooden deck and railroad ties.	In 2017 the company began to remove railroad ties.	base_53446023.003	base_53446023.003e	wikipedia	entailment				
neutral					"She is the author of the book """"."	Other than the book, she had a blog 	base_23238809.000	base_23238809.000n	wikipedia	neutral				
neutral					As of 1880, almost all of the nation's top ten glass producing counties were located on a waterway.	The top ten glass producing counties supplied 80% of the country's glass	base_31945474.003	base_31945474.003n	wikipedia	neutral				
entailment					"The legend of the Edenhall Cup is mentioned in the first chapter of Anthony Trollope's novel ""The Little House at Allington"", saying that guests had to drink from the cup regardless of the danger that it might break."	Anthony Trollope mentioned The legend of the Edenhall Cup in his novel	base_31478205.000	base_31478205.000e	wikipedia	entailment				
contradiction					In the United States, it aired on ABC and Style Network and currently airs on Up TV.	In United States, the show aired on E entertainment television	base_40812040.000	base_40812040.000c	wikipedia	contradiction				
neutral					Kade uses gecko genes to grow back his arm.	Kade can use gecko genes to grow any limb.	base_46107057.005	base_46107057.005n	wikipedia	neutral				
neutral					Salisbury Cathedral from the Bishop's Grounds is an 1823 painting by the nineteenth-century landscape painter John Constable (1776–1837).	Salisbury Cathedral is located in Amsterdam	base_31205825.000	base_31205825.000n	wikipedia	neutral				
neutral					The album's title was derived from the tracks it contained, being the release consisted of James's ten top record hits in the past three years.	James made sure that only his best songs made it to the album	base_35385418.001	base_35385418.001n	wikipedia	neutral				
entailment					These problems are more pronounced within the Chicago portion of the district – 14 of the district's 18 suburbs had median household incomes over $40,000 as of 1999, with the six most affluent grouped in the southwest corner of the district.	Chicago has 18 suburbs.	base_21420980.003	base_21420980.003e	wikipedia	entailment				
neutral					Magazine's music continues to be an influence today.	Magazine's music still has influence, like 10 years ago	base_04493547.000	base_04493547.000n	wikipedia	neutral				
neutral					Lanchester's car was completed in 1895 and given its first test run in 1896, and proved to be unsatisfactory, being underpowered and having transmission problems.	Lanchester was a great car.	base_05155570.000	base_05155570.000n	wikipedia	neutral				
contradiction					Unlike previous Bowie bands (such as the Spiders from Mars), Tin Machine acted as a democratic unit.	Spiders from Mars is not a Bowie band.	base_11506498.001	base_11506498.001c	wikipedia	contradiction				
contradiction					After the war, the communists destroyed their gravestones.	The communists didn't disturb their gravestones after the war.	base_27164439.004	base_27164439.004c	wikipedia	contradiction				
neutral					The quarry side of the bunker was protected by an outer curtain wall, which contained entrances to two tunnels leading into the main bunker.	The entrances were heavily trapped.	base_51196928.005	base_51196928.005n	wikipedia	neutral				
neutral					Like Variation 19, the theme is hidden, in this case by merely gracing the main notes of the theme in passing, thereby achieving a sense of lightness.	Variation 19 is composed in a minor key. 	base_12087466.001	base_12087466.001n	wikipedia	neutral				
entailment					"Among other celebrated recipients: King Khalid and Prince Fahd (Saudi Arabia), King Hassan (Morocco), Sheik Zayed (United Arab Emirates), President Anwar Sadat (Egypt) and President Hafez Assad (Syria)."""	King Khalid is the king of Saudi Arabia.	base_06482097.003	base_06482097.003e	wikipedia	entailment				
contradiction					This proposal, although rejected in favour of David Asper's plan, called for a $265 million stadium at the former Public Markets site in the St. Boniface industrial park, which Canad Inns purchased from the city.	David Asper establish the David Asper Centre for Constitutional Rights	base_28995351.001	base_28995351.001c	wikipedia	contradiction				
entailment					A carer from Glasgow died on her way to work and a 52-year-old homeless man was found dead freezing inside his tent.	Inside his tent, a homeless man was found dead.	base_58510756.003	base_58510756.003e	wikipedia	entailment				
entailment					He is an active member of The Church of Jesus Christ of Latter-day Saints.	The Church of Jesus Christ of Latter-day Saints has him as an active member	base_29625621.000	base_29625621.000e	wikipedia	entailment				
contradiction					A saw pit could, if circumstances demanded, be worked by a single person, the end of the saw being weighted with a stone or some other weight, and then raised and lowered by the sawyer.	A saw pit always needs at least 3 people in order to meet full functionality. 	base_27445346.001	base_27445346.001c	wikipedia	contradiction				
entailment					Near the coastline, offshore winds move the warm waters near the surface offshore, and replace them with cooler water from below in the process known as Ekman transport.	The process where winds moves surface waters away from the coast is named Ekman transport	base_07590877.003	base_07590877.003e	wikipedia	entailment				
entailment					A native of Mexico City, Jaime seldom fought there because he was so popular in border towns like Tijuana.	Jaime was a native of Mexico City. 	base_23784927.010	base_23784927.010e	wikipedia	entailment				
neutral					He won a bronze medal at the 1988 Seoul Games in the Men's Slalom C4-5 event.	After the 1988 Seoul Games, he retired.	base_42728738.001	base_42728738.001n	wikipedia	neutral				
entailment					Furthermore, the number of copies to be printed over the course of three more print runs before the release date was expected to reach 450,000 copies.	The print runs were expected to be 450000 copies. 	base_47022004.003	base_47022004.003e	wikipedia	entailment				
contradiction					In the state of Texas, four small communities share the name Needmore and the high plains area of the Llano Estacado has two.	All 7 of the Needmore communities are right next to each other.	base_46961807.000	base_46961807.000c	wikipedia	contradiction				
neutral					Recently in June 2013, Justice Sidi Yahefdhou, Chief Justice of Mauritania also visited Pakistan.	The Chief Justice Yahefdhou visited places other than Pakistan.	base_35980704.004	base_35980704.004n	wikipedia	neutral				
entailment					It is fully open to the public from 07:30-21:00 during the summer months, and closes instead at dusk during the autumn, winter and spring.	It's open from 07:30-21:00 during summer	base_52037862.001	base_52037862.001e	wikipedia	entailment				
neutral					"Even when the tunes have a familiar swinging, funky, or melancholic feel, Parker's quartet offers plenty of surprises""."	They were known for the funky feel.	base_49738784.002	base_49738784.002n	wikipedia	neutral				
neutral					One length is equal to 0.08 of one second.	The length was initially measured by a scientist in Italy.	base_25599732.001	base_25599732.001n	wikipedia	neutral				
entailment					"In winter, occasionally a condition known as ""Berg wind"" or ""Oosweer"" (Afrikaans: East weather) occurs, a hot dry wind blowing from the inland to the coast."	Berg wind is a hot dry wind blowing from the inland to the coast.	base_00528854.001	base_00528854.001e	wikipedia	entailment				
contradiction					"In 1812 the diabolo ""was all the rage""; then it ""enjoyed an ephemeral vogue"" until it ""finally fell into discredit"" some time before 1861."	In 1861 the ephemeral vogue of diabolo began its height.	base_03831815.002	base_03831815.002c	wikipedia	contradiction				
entailment					"In January 2004, the magazine name was changed to ""Better Software"" magazine to reflect the broader focus on the entire software lifecycle."	In 2004, Better Software was the new name of the magazine	base_53590659.002	base_53590659.002e	wikipedia	entailment				
neutral					The Eyalet of Adana () was an eyalet of the Ottoman Empire, established in 1608, when it was separated from the Eyalet of Aleppo.	The Eyalet of Adana was powerful.	base_40641904.000	base_40641904.000n	wikipedia	neutral				
entailment					In March 2014, Grahame said that she was moving to France as she begrudged being recognised in public.	Grahame felt confident that she'd be less recognized in France.	base_18226388.000	base_18226388.000e	wikipedia	entailment				
entailment					He was an unsuccessful candidate to the United States Senate in 1940.	He was unsuccessful as a candidate.	base_25335238.000	base_25335238.000e	wikipedia	entailment				
entailment					"His short poems, known as ""gruks"" or grooks (Danish: ""gruk""), first started to appear in the daily newspaper ""Politiken"" shortly after the German occupation of Denmark in April 1940 under the pseudonym ""Kumbel Kumbell""."	"He published short poems under the pseudonym ""Kumbel Kumbell."""	base_01373665.001	base_01373665.001e	wikipedia	entailment				
entailment					"His first book, ""Planning for Protestantism in Urban America"", was published in 1964."	In 1964, his first book was published 	base_48611313.003	base_48611313.003e	wikipedia	entailment				
contradiction					The Limited was the top-of-the-line Town & Country trim level from 2008 to 2014.	The Limited was the highest trim level from 2009 to 2012	base_07693716.000	base_07693716.000c	wikipedia	contradiction				
entailment					He is often helpful to anyone who visits and tries to offer whatever help he can.	He tries to help when he can.	base_33105105.004	base_33105105.004e	wikipedia	entailment				
entailment					The remainder of the season was fairly uneventful as he failed to qualify for the Malta Cup, Welsh Open and the China Open.	Nothing of note happened the rest of the season.	base_26476261.004	base_26476261.004e	wikipedia	entailment				
contradiction					In the following Dnipro Cup (Tradepoint Cup-7), Misto finished 2nd, losing in the finals to Russian Major League team HC Belgorod.	Misto never won any award 	base_33471026.001	base_33471026.001c	wikipedia	contradiction				
contradiction					He won one singles title and 16 doubles titles, including the 1989 French Open Men's Doubles.	He won two singles titles in addition to 16 doubles titles.	base_09022138.001	base_09022138.001c	wikipedia	contradiction				
entailment					They defeated Portland State, North Dakota, and Montana in the Big Sky Tournament to earn the conference's automatic bid to the NCAA Tournament.	They defeated Portland State.	base_55093996.001	base_55093996.001e	wikipedia	entailment				
contradiction					It generally favors binational confederation or two-state coexistence, drawing upon fringe historical and contemporary movements as varied as Uri Avneri's pan-Semitism, Buberian Zionism, and even aspects of rightist Canaanism for inspiration.	It doesn't take any inspiration from Buberian Zionism or other fringe movements.	base_02945216.001	base_02945216.001c	wikipedia	contradiction				
neutral					In 1921 Holst attracted favourable notice when he played three concertos at one concert with the Berlin Philharmonic Orchestra.	Holst went on to play three more concerts during his time in Berlin. 	base_47391106.000	base_47391106.000n	wikipedia	neutral				
neutral					In the 1964–65 season Bolton narrowly missed out on promotion back to the top flight, finishing the season in third position.	Bolton went on to be promoted to top flight in the 1966 season. 	base_15847828.001	base_15847828.001n	wikipedia	neutral				
contradiction					He is a powerful wizard, and like Darres, is often looking out for Ishtar.	He rarely looks out for Ishtar.	base_19511026.000	base_19511026.000c	wikipedia	contradiction				
neutral					In 1893 Lamond was invited by Vasily Safonov to Moscow to play Tchaikovsky's First Piano Concerto in B-flat minor, Op.	Vasily Safonov invited Lamond to play Tchaikovsky's Third Piano Concerto in B-flat minor in Moscow in 1893.	base_18713976.001	base_18713976.001n	wikipedia	neutral				
entailment					Claxton is governed by a mayor and city council.	Claxton's executive branch consists of a city council and a mayor	base_02032839.000	base_02032839.000e	wikipedia	entailment				
entailment					It runs projects in 32 countries on five continents, and is in touch with individuals and small non-profits in 146 countries through the Forum for Overcoming Extreme Poverty.	Individuals and small non-profits within 146 countries help aide these projects.	base_43181232.004	base_43181232.004e	wikipedia	entailment				
contradiction					Lonnie Smith was a leader in the congregation and filed the Smith v. Allwright case along with the church's pastor, A.A. Lucas, in the 1940s.	Lonnie Smith filed a case in 1920.	base_49585956.002	base_49585956.002c	wikipedia	contradiction				
contradiction					Guatemala's extradition practice, however, fails to address the country's weak justice system.	Guatemala's weak justice system is addressed by the extradition practice.	base_44190355.007	base_44190355.007c	wikipedia	contradiction				
contradiction					Eremophila acrida is a plant in the figwort family, Scrophulariaceae and is endemic to arid areas in the Northern Territory and Queensland in Australia.	Australia once took over Russia.	base_53577162.000	base_53577162.000c	wikipedia	contradiction				
entailment					Jérémy Mathieu (; born 29 October 1983) is a French professional footballer who plays as a centre-back or a left-back for Portuguese club Sporting CP.	Sporting CP is a Portuguese football club.	base_19117239.000	base_19117239.000e	wikipedia	entailment				
neutral					Beginning in 1998, J.P. Morgan openly discussed the possibility of a merger, and speculation of a pairing with banks such as Goldman Sachs, Chase Manhattan Bank, Credit Suisse and Deutsche Bank AG was prevalent.	J.P. Morgan completed a merger in 1999.	base_10714285.001	base_10714285.001n	wikipedia	neutral				
neutral					At the urging of his superiors, he removed several discussions of the bomb's moral implications and its creators' unease.	He removed several discussions of the Atomic bomb's moral implications	base_08951622.001	base_08951622.001n	wikipedia	neutral				
neutral					"Ianto and Jack's relationship is referred to by Owen in ""Captain Jack Harkness"" when he calls Ianto Jack's 'part-time shag'."	"""Captain Jack Harkness"" is a book in a series written by Owen."	base_23485890.004	base_23485890.004n	wikipedia	neutral				
contradiction					Since the retirement of George Weah, the roster of the national team changed significantly.	The team could not recover after two consecutive loses	base_08363222.000	base_08363222.000c	wikipedia	contradiction				
contradiction					The USA Masters Hall of Fame is the Masters section of the National Track and Field Hall of Fame.	The USA Masters Hall of Fame is only for swimming. 	base_40481630.000	base_40481630.000c	wikipedia	contradiction				
neutral					The forewings are greyish white, with numerous greyish brown and brown scales.	The forewings are greyish white with red touches 	base_46687402.001	base_46687402.001n	wikipedia	neutral				
contradiction					Experts estimate that had such an ignition occurred, the entirety of Point Comfort would have been incinerated.	The entirety of Point Comfort would never have been incinerated due to an ignition.	base_20586889.005	base_20586889.005c	wikipedia	contradiction				
